image_name,category,true_caption,retrieved_caption,CLIPScore_matched,CLIPScore_retrieved,CLIPScore_random,BERTScore_F1
2009_005024,train,Train traveling through a rural wooded area,Passenger train approaching through forested tracks,0.28784683,0.30518368,0.13457379,0.929015
n03782006_15631,tvmonitor,Old tvmonitor screens stacked against the wall,Multiple tvmonitors surrounded by old computers,0.3199284,0.3297992,0.14192224,0.90199757
n11939491_42468,flower,Yellow flower with green leafy surroundings,Yellow flower with green and brown center,0.27696326,0.3007668,0.1324953,0.91819835
n11939491_6746,flower,Orange flower with soft green surroundings,Orange flower with soft green surroundings,0.30431196,0.30431196,0.14487621,1.0
n11939491_48844,flower,White flower with yellow center among green leaves,White daisy flower surrounded by green grass,0.3054213,0.33510023,0.19412547,0.90285903
2010_001000,cow,Brown and white cow standing with herd,Two cows harnessed together on farmland,0.27314138,0.29239875,0.24703737,0.88647217
2010_005522,dog,Dog standing on seaweed covered beach sand,Dog standing on seaweed covered beach sand,0.34768042,0.34768042,0.1530468,1.0
n03201208_30028,diningtable,Diningtable with wooden chairs and tiled floor,Diningtable with six chairs on wooden floor,0.3125798,0.34583122,0.13590935,0.955206
n04487081_4029,bus,Orange city bus driving along a leafy street,Bus parked on a paved street plaza,0.28294516,0.30100578,0.12049615,0.91894555
002276,bird,Bird with large beak perched on branch,Colorful bird standing on a wooden branch,0.29344988,0.2950539,0.1369835,0.90759903
n02417914_39371,sheep,Sheep grazing among rocks and bushes,Sheep with large horns on rocky terrain,0.27069962,0.32197016,0.15538107,0.9147688
n03201208_28578,diningtable,Diningtable with red chairs and modern lamps,Diningtable with red chairs and modern lamps,0.27480596,0.27480596,0.13341075,1.0
n04344873_14569,sofa,White sofa with four pillows beside window,White sofa with four pillows beside window,0.30511504,0.30511504,0.12297197,1.0
009681,aeroplane,Aeroplane on grassy field near trees,Aeroplane landing on a grassy runway,0.31580994,0.3303944,0.12471633,0.9514047
n02389026_3388,horse,Young horse standing on green grass,Young horse foal trotting on green grass,0.30607027,0.31147355,0.14414614,0.9546603
n04344873_7228,sofa,Wooden sofa with colorful cushions and pillows,Wooden sofa with colorful cushions and pillows,0.28869832,0.28869832,0.15284799,1.0
2008_008424,aeroplane,Aeroplane taxiing on runway near buildings,Aeroplane taxiing on runway near buildings,0.30690452,0.30690452,0.12189737,1.0
2008_002033,dog,Dog running through water with tennis ball,Dog running through water with tennis ball,0.35244298,0.35244298,0.13758987,1.0
2008_000902,person,Person in a crowd wearing a coat,Person in a crowd wearing a coat,0.29240537,0.29240537,0.16550228,1.0000001
n03791053_10464,motorbike,Motorbike parked by a concrete wall,Motorbike parked on cobblestone sidewalk,0.28252864,0.30786917,0.06262112,0.9296214
n04344873_14637,sofa,White sofa with pillow near glass walls,White sofa with pillow near glass walls,0.33409947,0.33409947,0.13908735,1.0
n03785016_1025,motorbike,Red motorbike parked on a paved walkway,Red motorbike parked on a paved walkway,0.31049964,0.31049964,0.10946749,1.0
n04487081_39774,bus,Bus traveling down a tree-lined street,Bus turning on a street near tall trees,0.3000781,0.31563425,0.13105209,0.9248028
n03095699_21731,boat,Cargo boat loaded with containers on water,Large container boat passing near city shoreline,0.27871072,0.3063839,0.14946306,0.891698
n11939491_11909,flower,White flower with yellow center among green leaves,White daisy flower with green foliage,0.2865929,0.3301038,0.14221178,0.92898595
n02422699_817,sheep,Sheep standing alert in dry grass,Bird standing on grassy ground near bushes,0.22532138,0.27437732,0.12470536,0.90520066
2009_000068,horse,Horse walking on snowy ground near mountains,Horse walking in snowy fenced yard,0.2910878,0.3071711,0.13224155,0.9308596
n04487081_5397,bus,Two city buses on a sunny street,Two city buses on a sunny street,0.30742472,0.30742472,0.20265302,1.0
n03095699_28756,boat,Container boat carrying cargo on calm water,Container boat carrying cargo on calm water,0.3089665,0.3089665,0.14012513,1.0
2008_003984,person,Person with costume accessories against brick wall,Person with costume accessories against brick wall,0.2810591,0.2810591,0.073494576,0.99999994
n03095699_8455,boat,Boat carrying colorful containers on the ocean,Container boat loaded with cargo at sea,0.29321116,0.3278119,0.14886607,0.91706824
007376,bus,Bus driving past tall city buildings,Electric bus on city street with buildings,0.2586456,0.31149396,0.10967981,0.9168753
2008_000464,cat,Cat sitting on a windowsill indoors,Gray cat indoors with tan walls,0.30311474,0.31698355,0.17994179,0.8843337
n04487081_161,bus,Bus turning on a city street with apartments,Bus parked on a paved street plaza,0.30934444,0.3231805,0.11167754,0.9139423
004972,bird,Bird perched on a wire against beige sky,Bird perched on a wire against beige sky,0.29898757,0.29898757,0.089247204,1.0
n04483307_7895,boat,Sailboat gliding on calm water near shore,Boat with tall sails on open water,0.26654834,0.31104732,0.13040626,0.91397905
2009_003913,dog,Dog wearing blue outfit beside red bag,Dog wearing blue outfit beside red bag,0.26394615,0.26394615,0.09382418,0.99999994
2010_000324,person,Person in blue hoodie cooking outdoors,Person in blue hoodie cooking outdoors,0.36313277,0.36313277,0.119017005,1.0
n03201208_54612,diningtable,Wooden diningtable surrounded by elegant chairs,Wooden diningtable with eight carved chairs,0.2894159,0.34721226,0.25484848,0.9537175
2009_001457,horse,Horse standing on a green grassy field,White horse with halter against gray wall,0.2882086,0.31920645,0.07633347,0.8764152
2009_001853,train,Train at station with tracks and platform,Freight train passing by a station platform,0.29399067,0.33724827,0.1756301,0.90335476
n03201208_45174,diningtable,Diningtable with fruit bowl near window,Diningtable with fruit bowl near window,0.3397621,0.3397621,0.14763272,1.0
2010_005376,horse,Horse wearing halter near snowy wooden fence,Three horses grazing and resting near trees,0.25633603,0.29127198,0.059161346,0.88720304
2010_001659,dog,Dog running on wet sandy beach,Dog running on wet sandy beach,0.32301107,0.32301107,0.15897721,1.0
n11939491_14934,flower,Dried flower with curled petals on metal,White and yellow flower on wooden surface,0.30157486,0.30948743,0.18046108,0.8885747
2008_002458,person,Person smiling with child by a fence,Person sitting on bench with child outdoors,0.27118698,0.27173358,0.14234805,0.9260587
n04344873_12044,sofa,Pink sofa with a matching canopy cover,Sofa with pillows beside a lamp and dresser,0.2715628,0.27230498,0.106709234,0.8812391
n04344873_3949,sofa,Wooden sofa with decorative backrest design,Wooden sofa with decorative backrest design,0.32069543,0.32069543,0.24630737,1.0
n02791124_257,chair,Vintage chair with metal frame by windows,Barber chair with brown leather and wood,0.30555207,0.37647235,0.18979052,0.89557713
n03792782_4222,bicycle,Black bicycle with red tires on pavement,Black mountain bicycle indoors on red tile floor,0.3001365,0.31784028,0.10312487,0.9036679
005171,boat,Boat sailing near coastal hills and mountains,Large boat docked near a calm shore,0.26412892,0.2808488,0.16959105,0.90877515
n02410509_771,cow,Cow herd walking along forest road,Cow herd walking along forest road,0.2566377,0.2566377,0.13287035,0.99999994
2011_000457,sofa,Floral patterned sofa with colorful upholstery,Floral patterned sofa with colorful upholstery,0.2971171,0.2971171,0.15613459,1.0
004045,sofa,Beige sofa near table and green plant,Beige sofa with dark wooden armrests,0.31059596,0.3318841,0.19463232,0.9031333
n11939491_5379,flower,White flower with yellow center among grass,White daisy flower with green foliage,0.311109,0.35479057,0.08095934,0.9028284
n02408429_1388,cow,Cow grazing in tall green grass,Cow resting on grass beneath another cow,0.28371507,0.3125483,0.14435717,0.90816313
n03376595_8398,chair,Wooden chair on a hardwood floor,Wooden chair on a hardwood floor,0.32138726,0.32138726,0.088225186,1.0
007033,aeroplane,Aeroplane on wet runway near grass field,Silver aeroplane displayed on outdoor tarmac,0.25066516,0.29100996,0.12977508,0.90224946
n11939491_5584,flower,Yellow flower bloom against a dark backdrop,Yellow flower with green and brown center,0.29030833,0.30802143,0.15072961,0.884271
2009_004579,bottle,Tall sake bottle with floral label nearby box,Tall sake bottle with floral label nearby box,0.32756898,0.32756898,0.18427345,1.0
n11939491_9525,flower,White flower surrounded by green leaves,White daisy flower with green foliage,0.306625,0.35260677,0.13132392,0.94267774
n02389026_218,horse,Horse standing in tall grassy field,Young horse running on sandy paddock grass,0.29431957,0.33044368,0.1711493,0.9138574
n03201208_15246,diningtable,Glass diningtable surrounded by wooden chairs,Glass diningtable with four cushioned chairs nearby,0.30355763,0.32928377,0.16207418,0.9415653
n11939491_8902,flower,White daisy flower surrounded by green grass,White daisy flower surrounded by green grass,0.34059355,0.34059355,0.14218555,1.0
003514,bird,White bird perched beside green bird indoors,White bird perched beside green bird indoors,0.3071018,0.3071018,0.28384086,1.0
n03782006_2624,tvmonitor,tvmonitor displaying code beside a laptop,Two tvmonitor screens on a cluttered desk,0.27530834,0.30233276,0.15111507,0.88396525
2010_000557,bicycle,Bicycle with orange pannier on wooden floor,Bicycle with orange pannier on wooden floor,0.3631407,0.3631407,0.09373604,1.0
000198,train,Vintage train on curved rural railway tracks,Passenger train approaching through forested tracks,0.29297093,0.32034075,0.15495363,0.8964946
008370,bird,Colorful bird standing on a wooden branch,Colorful bird standing on a wooden branch,0.3407114,0.3407114,0.088207334,1.0
2010_002853,person,Person smiling inside an airplane cockpit,Person smiling inside an airplane cockpit,0.31908756,0.31908756,0.102596134,1.0
005066,bus,Tourist bus parked near tall green trees,Tourist bus parked near tall green trees,0.29415694,0.29415694,0.12066727,1.0
n04099969_4902,chair,Wicker rocking chair on patterned carpet,Wicker rocking chair on a garden patio,0.33731705,0.3426787,0.23739274,0.93707407
004025,bird,Black bird standing on grassy ground,Black bird standing on grassy ground,0.31999046,0.31999046,0.108870946,1.0000001
2009_001390,aeroplane,Aeroplane parked on airport tarmac,Silver aeroplane displayed on outdoor tarmac,0.27640435,0.3092032,0.09812945,0.9210861
n04099969_2758,chair,Yellow chair on a wooden deck outdoors,Yellow chair on a wooden deck outdoors,0.3309145,0.3309145,0.12971205,1.0
2008_007415,chair,Floral upholstered chair beside a flower vase,Two patterned chairs on a carpeted floor,0.3271437,0.33197844,0.12825085,0.8796335
n04152593_25630,tvmonitor,Tvmonitor displaying a forest scene above keyboard,Old Compaq tvmonitor displaying Mac OS X,0.34540644,0.3533975,0.17387861,0.8610935
2008_005977,cat,Cat lounging on a wooden ledge,Tabby cat sitting on wooden floor,0.29496247,0.2961973,0.17378083,0.923852
n02410509_1538,cow,Cow grazing on dry ground near trees,Brown horse standing on muddy ground,0.26189655,0.30726343,0.19709224,0.9110894
n03376595_9800,chair,Beige folding chair on carpeted floor,Beige folding chair on carpeted floor,0.34788287,0.34788287,0.21653783,1.0
n03201208_45974,diningtable,Large wooden diningtable surrounded by wooden chairs,Large wooden diningtable with matching chairs,0.2746609,0.30366883,0.15077955,0.9621248
2008_008636,dog,Dog standing alert on green grass,Dog standing on a grassy field,0.284689,0.3039373,0.17923203,0.9501213
006694,train,Steam train behind a stone wall,Steam train behind a stone wall,0.32044172,0.32044172,0.15415557,1.0
2008_004427,dog,Fluffy dog standing on wet sidewalk,Fluffy dog standing on wet sidewalk,0.36194873,0.36194873,0.14788896,1.0
2008_003287,person,Person walking through a forest of tall trees,Person walking through a forest of tall trees,0.30400938,0.30400938,0.08817126,1.0
n02422699_4345,sheep,Sheep standing alert in dry grassy field,Brown horse standing in a fenced enclosure,0.21595109,0.2625632,0.17985949,0.8897242
n04099969_1805,chair,Wooden chair with cushion on patterned cloth,Wooden chair with cushion on patterned cloth,0.35288393,0.35288393,0.15349102,1.0
n03983396_4605,bottle,Red lemonade bottle on a grocery shelf,Red lemonade bottle on a grocery shelf,0.30445603,0.30445603,0.11852504,1.0
001863,car,Rally car racing on a dirt track,Rally car speeding on a dirt track,0.2921386,0.30125058,0.096472554,0.9787226
2008_002677,person,Two people dressed formally beside a brick wall,Two people dressed formally beside a brick wall,0.31279004,0.31279004,0.12429808,1.0
n02389026_9888,horse,Horse standing near a wooden fence,Brown horse standing in a fenced enclosure,0.2868693,0.31081125,0.17742616,0.9349278
2009_003185,train,Train passing by trees and power lines,Train covered in bold silver graffiti artwork,0.24240693,0.2918192,0.12572466,0.8677535
2008_003015,person,Person sitting indoors near a window,Person with dark hair against a white wall,0.25905782,0.265184,0.16913131,0.89198166
n02835271_1055,bicycle,Tandem bicycle parked beside green bushes,Bicycle with yellow rims on a red mat,0.298799,0.31429416,0.1559057,0.877428
n02422699_38516,sheep,Sheep grazing on green grassy field,Three horses grazing in a grassy field,0.20873335,0.24456936,0.109494165,0.95701474
000182,person,Person sitting on a tan leather couch,Person sleeping on a couch with blankets,0.21333559,0.23788667,0.15126446,0.93514866
004278,aeroplane,Aeroplane on display beside modern building,Silver aeroplane displayed on outdoor tarmac,0.3088759,0.32270098,0.13215172,0.91646254
005924,car,Boxy car with open doors at auto show,Boxy car with open doors at auto show,0.33617413,0.33617413,0.17948529,1.0
007717,bottle,Wine bottle on a wooden table,A wine bottle on a white table,0.2662517,0.27768457,0.15998533,0.9627508
n03792782_6159,bicycle,Red bicycle leaning against a white wall,Bicycle with yellow rims on a red mat,0.284826,0.31370908,0.13640384,0.8885199
006294,aeroplane,Aeroplane on runway with grassy field,Aeroplane taxiing on green grass runway,0.27846682,0.28290805,0.08146824,0.9488852
n02389026_15566,horse,Horse resting peacefully on green grass,Horse resting peacefully on green grass,0.32486275,0.32486275,0.1527425,1.0
002891,train,Green steam train traveling through lush countryside,Black train engine on gravel railway tracks,0.28860188,0.31065056,0.20020641,0.88592535
2008_005272,dog,Dog in colorful costume on pavement,Dog in colorful costume on pavement,0.31444255,0.31444255,0.10949299,1.0
2008_001070,dog,Dog on leash sitting near stone ledge,Dog on leash sitting near stone ledge,0.30123734,0.30123734,0.17452127,1.0
001694,cat,Cat resting on a green chair,Cat sitting on a windowsill indoors,0.2933481,0.2977566,0.18619561,0.9228059
001542,cat,Tabby cat resting on a red couch,Tabby cat resting on a red couch,0.33500794,0.33500794,0.0790133,1.0
n02422106_3940,sheep,Sheep standing on dry grassy field,Three horses grazing and resting near trees,0.16855764,0.26862115,0.12441586,0.89367557
009305,bicycle,Bicycle parked beside a white wall,Tandem bicycle against a plain white wall,0.33568436,0.34120178,0.24641733,0.9358334
2011_000012,train,Freight train moving through snowy forest tracks,Canadian train stopped near a forested area,0.31222552,0.32001817,0.16587473,0.9044503
n02835271_5785,bicycle,Tandem bicycle parked beside a tree,Tandem bicycle on a gravel surface,0.33739775,0.33892065,0.19954099,0.9441009
n02415577_2177,sheep,Sheep standing on a rocky hillside,Sheep standing among large gray rocks,0.29976258,0.31223136,0.17107838,0.93229574
n04099969_72,chair,Wooden chair on carpeted living room floor,Wooden rocking chair on hardwood floor,0.30243903,0.30969054,0.23998728,0.9327229
000844,car,Race car speeding on a winding track,Race car speeding on a racetrack,0.2562979,0.2600638,0.13644989,0.96282446
n03095699_138,boat,Boat carrying containers near a large bridge,Large container boat passing near city shoreline,0.28292698,0.308147,0.15402527,0.91495776
n02408429_12562,cow,Cow standing on dry grassy plain,Sheep with large horns on rocky terrain,0.2842141,0.30209088,0.13983431,0.8878716
n03201208_2588,diningtable,Wooden diningtable with four cushioned chairs,Round diningtable with four wooden chairs,0.32942832,0.3377742,0.10702263,0.953793
009226,tvmonitor,tvmonitor on desk with keyboard and book,Two tvmonitor screens on a cluttered desk,0.29292274,0.29742864,0.093668036,0.90538985
n02408429_10342,cow,Cow standing in a muddy grassy field,Cow grazing among tall green grass,0.2785724,0.29265243,0.20026447,0.9106621
n04487081_27439,bus,Bus turning on a street near tall trees,Two city buses on a sunny street,0.28701687,0.29192436,0.13234326,0.9104258
n04487081_13159,bus,Bus turning on a quiet suburban street,Bus parked on a paved street plaza,0.29357052,0.30475235,0.22353013,0.92014974
n02422699_6507,sheep,Sheep grazing near thorny bushes,Two horses play on grassy field,0.24199873,0.264386,0.15124418,0.89179486
2008_004480,dog,Dog lying on a plaid bedspread,Dog lying on a plaid bedspread,0.3450267,0.3450267,0.12055074,1.0
n03782006_40413,tvmonitor,tvmonitor floating partially submerged in water,tvmonitor floating partially submerged in water,0.32756072,0.32756072,0.1770533,1.0000001
000469,car,Old green car parked on snowy ground,Old green car parked on snowy ground,0.34221518,0.34221518,0.18429777,1.0
2008_007947,car,Blue rally car displayed on showroom floor,Blue rally car displayed on showroom floor,0.32373405,0.32373405,0.12000467,1.0
002292,bicycle,Bicycle parked by a weathered metal door,Bicycle parked by a weathered metal door,0.33984447,0.33984447,0.13945785,1.0
2010_005005,person,Two people sitting together on a bus,Two people sitting together on a bus,0.2926453,0.2926453,0.11264636,1.0000001
n04099969_2610,chair,Wooden chair with carved backrest among others,Wooden chair with carved backrest among others,0.30793002,0.30793002,0.13796079,1.0
004871,train,Maroon train traveling on city railway tracks,Maroon train traveling on city railway tracks,0.32761583,0.32761583,0.14446704,1.0
008851,tvmonitor,Tvmonitor on a cluttered computer desk,Two tvmonitor screens on a cluttered desk,0.30932218,0.32335073,0.14499752,0.95400184
n03983396_9776,bottle,Colorful bottle sculptures displayed in an art gallery,Colorful bottle sculptures displayed in an art gallery,0.32874042,0.32874042,0.09324894,1.0
n03785016_25207,motorbike,Red motorbike parked on sunny pavement,Red motorbike parked beside a sidewalk,0.28647047,0.30307078,0.12923414,0.9543649
008116,sheep,Sheep grazing and standing on green field,Two sheep standing on grassy ground,0.30215746,0.31436396,0.099741556,0.9278735
2010_002876,cat,Cat sleeping on a pink polka dot blanket,Cat sleeping on a pink polka dot blanket,0.31609347,0.31609347,0.0834839,1.0
009191,motorbike,Motorbike parked on a rural paved road,Motorbike parked on a rural paved road,0.27666458,0.27666458,0.1203036,1.0
n04344873_3022,sofa,Rustic wooden sofa with striped bedding,Rustic wooden sofa with striped bedding,0.27649695,0.27649695,0.13430442,1.0
n02412080_21153,sheep,Sheep standing in tall grassy field,Sheep with curled horns standing on grass,0.3138844,0.32513672,0.12039864,0.9306241
2010_003385,car,Car on display under bright lights,Futuristic car with open gullwing door display,0.2702611,0.27140474,0.111582935,0.85352004
2008_002767,dog,Dog lying on carpet near wall,Dog with a green collar indoors,0.26878592,0.28104138,0.110778764,0.88597983
n03201208_6498,diningtable,Elegant diningtable set in a vintage room,Diningtable with polka dot cloth and chairs,0.25844455,0.30913833,0.17301014,0.88238186
2008_001344,person,Person smiling beside a kitchen counter,Person smiling beside a kitchen counter,0.2993939,0.2993939,0.14278041,0.99999994
2008_004973,bird,Bird gliding on calm blue water,Black bird swimming on calm water,0.2559017,0.2869771,0.11812889,0.9475214
n03062245_2115,bottle,Red glass bottle with silver metal lid,Red glass bottle with silver metal lid,0.32482836,0.32482836,0.2206606,0.99999994
n03983396_5611,bottle,Bottle of Fanta and Coca-Cola on table,Bottle of soda among other glass bottles,0.26847756,0.3093611,0.078172706,0.90472937
n04344873_16444,sofa,Gray sofa near kitchen and colorful painting,Gray sofa near kitchen and colorful painting,0.33885342,0.33885342,0.22614902,1.0000001
n04099969_21118,chair,Wooden rocking chair with blue cushion upholstery,Wooden rocking chair with blue cushion upholstery,0.33202246,0.33202246,0.124242656,1.0
2008_000775,person,Person sleeping on a couch with blankets,Person feeding baby with orange food,0.231179,0.26684898,0.10646671,0.90162945
n03782006_8136,tvmonitor,tvmonitor on a cluttered wooden desk setup,Dual tvmonitor screens on a computer desk,0.2950333,0.29628438,0.1411629,0.89741504
007211,motorbike,Motorbike parked on mountain roadside,Motorbike parked on mountain roadside,0.29159662,0.29159662,0.18171093,0.99999994
002916,person,Person standing beside tall floor lamp,Person standing beside tall floor lamp,0.32330883,0.32330883,0.12213643,1.0
2010_001647,cat,Orange cat lying on dry grass,Orange cat lying on dry grass,0.352701,0.352701,0.13779947,1.0
n03095699_471,boat,Boat carrying containers sailing on open water,Boat carrying containers sailing on open water,0.3185571,0.3185571,0.1547849,0.9999999
n02389026_27212,horse,Horse running on grassy field near houses,Horse and foal standing on grassy yard,0.28885907,0.29418483,0.16598168,0.9344646
n03983396_2242,bottle,Bottle of soda among other glass bottles,Bottle of soda among other glass bottles,0.2965372,0.2965372,0.08157167,1.0
n04344873_16080,sofa,Sofa with green leaf pillows beside table,Marble diningtable with white chairs and tiles,0.27392912,0.2758662,0.1090626,0.8673756
n03785016_8099,motorbike,Red motorbike parked on green grass,Red motorbike parked on a paved walkway,0.27145666,0.2970994,0.08781732,0.95563185
n02389026_3305,horse,Young horse walking on green grassy field,Young horse foal trotting on green grass,0.2461279,0.28382966,0.099117935,0.94181776
2008_008583,train,Canadian train stopped near a forested area,Canadian train stopped near a forested area,0.3264736,0.3264736,0.16109367,1.0
n03095699_10446,boat,Boat carrying colorful shipping containers on water,Container boat loaded with cargo at sea,0.2991705,0.3158652,0.18035325,0.90517956
n11939491_4544,flower,Purple flower standing out against green grass,Purple flower with green blurred surroundings,0.30913797,0.3156237,0.13844739,0.92173743
n04099969_1636,chair,Wooden rocking chair with a colorful blanket,Wooden rocking chair with a colorful blanket,0.31667215,0.31667215,0.11736968,1.0
n02408429_5761,cow,Group of black cows standing on grass,Group of black cows standing on grass,0.33606955,0.33606955,0.20586056,1.0
2009_005232,aeroplane,Vintage aeroplane displayed inside a museum,Aeroplane displayed in a large hangar,0.31858855,0.3409397,0.10139713,0.9352112
2010_001522,sheep,Sheep standing on grassy hill near tree,Sheep standing on grassy hill near tree,0.32581893,0.32581893,0.12829718,1.0
2011_000454,sheep,Sheep grazing on a green hillside pasture,Sheep grazing on a green hillside pasture,0.32793522,0.32793522,0.13828179,1.0
000645,bird,Yellow bird perched on a cage branch,Yellow bird perched on a cage branch,0.30755576,0.30755576,0.09580088,1.0
005013,train,Red and cream train at rural station platform,Red double-decker train at a modern station,0.29448706,0.3003504,0.13800916,0.90161574
n04344873_16831,sofa,Plaid sofa with mismatched cushions on wood floor,Plaid sofa with mismatched cushions on wood floor,0.35430378,0.35430378,0.13552716,1.0
n03782006_15046,tvmonitor,Vintage tvmonitor displaying green text interface,Vintage tvmonitor displaying green text interface,0.35313907,0.35313907,0.17398702,1.0
n04344873_17545,sofa,Rustic wooden sofa with green cover,Sofa with green leaf pillows beside table,0.29302078,0.3013296,0.106065795,0.88814354
n04152593_6384,tvmonitor,Broken tvmonitor smashed with a hammer outdoor,Broken tvmonitor smashed with a hammer outdoor,0.31552964,0.31552964,0.13697037,1.0
2008_005303,bird,Bird perched on a wooden post outdoors,Bird perched on a wooden post outdoors,0.27632987,0.27632987,0.18190125,1.0000001
n02417914_26,sheep,Sheep standing on rocky grassy hillside,Sheep with large horns on rocky terrain,0.2659653,0.29833522,0.14953049,0.92092633
n03983396_24815,bottle,Root beer bottle against a brick wall,Root beer bottle against a brick wall,0.3425573,0.3425573,0.12900428,1.0
007933,bicycle,Bicycle with yellow accents near brick wall,Yellow tandem bicycle against a brick wall,0.32519552,0.32805938,0.13705315,0.92554766
2008_003827,motorbike,Red Coca-Cola motorbike on a shiny platform,Red Coca-Cola motorbike on a shiny platform,0.3575076,0.3575076,0.07273157,1.0
2009_004334,bird,Bird flying near tree branches at dusk,Bird flying near tree branches at dusk,0.3076633,0.3076633,0.1358296,1.0
2011_001414,cat,Cat resting on a brown leather couch,Cat resting on a brown leather couch,0.30880746,0.30880746,0.1279678,1.0
2009_005102,dog,Dog standing on tiled floor near wooden doors,Dog in a sweater standing on table,0.27033198,0.28457975,0.20212796,0.90484023
n03201208_29131,diningtable,Wood diningtable with striped cushioned chairs,Diningtable with four chairs on wood floor,0.2999682,0.3227466,0.18140003,0.9137404
2009_002499,cat,Cat with closed eyes under indoor lights,Cat face close-up with long whiskers,0.27436692,0.27984822,0.15968147,0.88479936
008684,car,Race car speeding on a racetrack,Race car speeding on a winding track,0.27385896,0.27512926,0.12230789,0.96282446
n03095699_5951,boat,Boat carrying containers on calm ocean water,Boat carrying cargo containers on open water,0.31341022,0.32631424,0.14880306,0.9587206
n04487081_1702,bus,Bus driving on a city street downtown,Bus parked on city street near buildings,0.3258464,0.34265083,0.16439569,0.93071187
n03095699_18715,boat,Boat carrying shipping containers on open water,Container boat carrying cargo on calm water,0.28810418,0.30276132,0.30182695,0.9331561
001126,aeroplane,Aeroplane flying high in clear sky,Aeroplane flying low over residential area,0.27886316,0.28115213,0.09517129,0.9408733
2010_000036,car,Black car parked near palm trees,Black car parked near palm trees,0.27181575,0.27181575,0.13897069,1.0
n03782006_9891,tvmonitor,tvmonitor and keyboard on a wooden desk,Old Compaq tvmonitor displaying Mac OS X,0.31275308,0.34801728,0.12224674,0.8667128
2011_001964,bus,Bus parked on a paved street plaza,Bus turning near decorative archway structure,0.29914892,0.31083,0.20391376,0.8919206
004312,sheep,Sheep standing on dry grass and dirt,Sheep with curled horns standing on grass,0.2826652,0.3023598,0.24164382,0.9296477
2009_003523,tvmonitor,tvmonitor displaying error screen on airplane seat,tvmonitor displaying error screen on airplane seat,0.3619545,0.3619545,0.29982334,1.0000001
004425,bird,Colorful bird perched on a tree branch,Colorful bird standing on a wooden branch,0.30796853,0.30964786,0.124871105,0.9641283
n03782006_32434,tvmonitor,Dual tvmonitor setup on wooden computer desk,Dual tvmonitor screens on a computer desk,0.28481352,0.33007386,0.23349695,0.95704013
008266,train,Vintage train passing through a green area,Maroon train traveling on city railway tracks,0.2721939,0.29488122,0.16549742,0.90446234
2010_001327,sofa,Floral patterned sofa with plush cushions,Sofa with green leaf pillows beside table,0.31181923,0.32621288,0.17352888,0.8797414
2008_008541,cow,Cow standing near a wire fence enclosure,Cow standing near a wire fence enclosure,0.34030157,0.34030157,0.10968395,1.0
2010_001356,sheep,Sheep standing on snow-covered ground,Sheep standing on snow-covered ground,0.30044013,0.30044013,0.1320535,1.0
n04344873_5908,sofa,Orange sofa with pillows against yellow wall,Orange sofa with pillows against yellow wall,0.32612276,0.32612276,0.106734134,1.0
n11939491_9245,flower,White daisy flower surrounded by green leaves,White daisy flower with green foliage,0.33178675,0.3408156,0.16810775,0.97050995
007973,aeroplane,Aeroplane flying above clear blue ocean,Aeroplane flying above clear blue ocean,0.253068,0.253068,0.10205714,1.0
n03785016_10909,motorbike,Red and silver motorbike on a white surface,Red and silver motorbike on a white surface,0.29509467,0.29509467,0.21440119,1.0
n03201208_46701,diningtable,Wooden diningtable with six matching chairs,Wooden diningtable with four cushioned chairs,0.33445725,0.33546856,0.1033098,0.96233994
000179,boat,Boat with tall sails on open water,Boat with tall masts sailing on ocean,0.27065882,0.27900153,0.1265357,0.93701434
n02791124_696,chair,Brown chair on a tiled kitchen floor,Barber chair with brown leather and wood,0.2837901,0.36606026,0.120509595,0.8828687
2008_006889,motorbike,Green motorbike parked on concrete driveway,Tandem bicycle with bottles on display wall,0.29736692,0.3213182,0.16469678,0.8904274
2011_001354,cow,Cow resting on green grass near rocks,Cow resting on grass near a lake,0.33037615,0.3336469,0.16786316,0.9615463
n03201208_10572,diningtable,Wooden diningtable with chairs and cushioned bench,Diningtable with six chairs near large curtains,0.29306686,0.32267672,0.109418094,0.909332
2008_002988,person,Person sitting on floral patterned couch,Person sitting on floral patterned couch,0.25384128,0.25384128,0.14215502,1.0
n03201208_26924,diningtable,Round diningtable with four green chairs nearby,Round diningtable with four green chairs nearby,0.34169853,0.34169853,0.12455738,1.0
n04483307_2684,boat,Sailboat gliding on calm blue water,Boat with tall sails on open water,0.29768175,0.31294864,0.1095593,0.9088012
000075,dog,Dog running through sunlit grassy field,Dog running through sunlit grassy field,0.32127893,0.32127893,0.18357839,1.0
n04487081_11955,bus,Bus turning near decorative archway structure,Bus parked on a paved street plaza,0.30184087,0.30244833,0.09774554,0.8919206
2009_003735,dog,Dog sitting on bright green grass,Dog running through sunlit grassy field,0.30042082,0.31842443,0.12828979,0.9156802
2010_003774,sheep,Sheep with curled horns standing on grass,Sheep standing together near a metal fence,0.28842962,0.30527997,0.06689289,0.91087556
2008_008711,bicycle,Bicycle parked beside a metal railing,Black bicycle on gray tiled floor,0.30201313,0.31211644,0.17163649,0.86513585
2009_002515,horse,Horse walking in a fenced paddock,Horse walking in a fenced grassy area,0.3316458,0.33210683,0.19033834,0.9657292
n02389026_1209,horse,Horse standing on grassy open field,Horse and foal standing on grassy yard,0.2576025,0.28960818,0.14251569,0.95401835
